Name,Category,Preview URL (Cover Image),Price (Credits),Description,Prompt,Negative Prompt
Cyberpunk City,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf,15,Transform photo into a futuristic cyberpunk metropolis with neon lights and holograms.,"Ultra detailed cyberpunk city, neon lights, futuristic skyscrapers, cinematic lighting, rain reflections, high detail, 8k, masterpiece, vibrant colors","blurry, low quality, distorted face, extra limbs, watermark, text, jpeg artifacts"
Medieval Knight,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1518562180175-34a163b1a9a6,15,Turn portrait into a heroic medieval knight.,"Medieval knight armor, epic fantasy castle, cinematic sunlight, realistic metal textures, ultra detailed, 8k, masterpiece","ugly, blurry, low resolution, cartoon, extra fingers, watermark"
Space Explorer,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1446776811953-b23d57bd21aa,20,Create an astronaut portrait in deep space.,"Astronaut suit, distant galaxies, cinematic space scene, realistic lighting, ultra detailed, 8k, science fiction masterpiece","blurry, low quality, noise, watermark, cropped, deformed"
Anime Hero,Anime,https://images.unsplash.com/photo-1515879218367-8466d910aaa4,10,Convert portrait into anime protagonist style.,"Anime hero, vibrant colors, detailed anime art, studio quality, expressive eyes, clean lines, masterpiece","realistic, blurry, low quality, bad anatomy, watermark"
Samurai Warrior,Anime,https://images.unsplash.com/photo-1521295121783-8a321d551ad2,12,Become a legendary samurai warrior.,"Epic samurai armor, Japanese temple background, dramatic lighting, ultra detailed, anime realism, masterpiece","low quality, blurry, extra limbs, distorted anatomy"
Disney Style,Cartoon,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee,10,Transform into a modern animated movie character.,"Disney inspired character, colorful cinematic animation, expressive face, high detail, family friendly","realistic skin, blurry, low quality, watermark"
Pixar Character,Cartoon,https://images.unsplash.com/photo-1494790108377-be9c29b29330,10,Create a Pixar-inspired animated portrait.,"Pixar style 3D animated character, cinematic lighting, cute expression, highly detailed","blurry, low quality, creepy, deformed face, watermark"
Business Executive,Professional,https://images.unsplash.com/photo-1500648767791-00dcc994a43e,8,Professional corporate headshot.,"Professional business executive portrait, studio lighting, clean background, realistic photography, LinkedIn style","blurry, low quality, casual clothing, watermark"
Luxury CEO,Professional,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d,12,Premium luxury executive portrait.,"Luxury CEO portrait, expensive office, cinematic lighting, ultra realistic, magazine cover quality","blurry, low quality, noise, watermark"
Fashion Magazine,Fashion,https://images.unsplash.com/photo-1524504388940-b1c1722653e1,15,High-end fashion editorial look.,"Fashion magazine cover, professional photography, luxury clothing, studio lighting, Vogue style","blurry, low quality, bad anatomy, watermark"
Streetwear Model,Fashion,https://images.unsplash.com/photo-1504593811423-6dd665756598,12,Modern streetwear photoshoot.,"Streetwear fashion model, urban background, trendy clothing, realistic photography, ultra detailed","blurry, low quality, watermark, distorted body"
Royal King,Royalty,https://images.unsplash.com/photo-1517841905240-472988babdf9,18,Become a powerful king or queen.,"Royal king portrait, golden crown, palace interior, luxurious atmosphere, masterpiece, ultra detailed","blurry, low quality, deformed face, watermark"
Ancient Egyptian,Historical,https://images.unsplash.com/photo-1539650116574-75c0c6d73f6e,15,Ancient Egyptian ruler transformation.,"Ancient Egypt pharaoh, pyramids, golden jewelry, cinematic desert lighting, realistic details","blurry, low quality, modern objects, watermark"
Viking Warrior,Historical,https://images.unsplash.com/photo-1503023345310-bd7c1de61c7d,15,Epic Viking warrior portrait.,"Viking warrior, snowy mountains, fur armor, dramatic lighting, ultra detailed, cinematic","blurry, low quality, extra limbs, watermark"
Superhero,Entertainment,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,20,Turn into a cinematic superhero.,"Powerful superhero suit, action pose, dramatic city background, movie poster quality, ultra detailed","blurry, low quality, bad anatomy, watermark"
Movie Poster,Entertainment,https://images.unsplash.com/photo-1485846234645-a62644f84728,18,Create a blockbuster movie poster.,"Hollywood movie poster, cinematic composition, dramatic lighting, epic atmosphere, masterpiece","blurry, low quality, watermark, cropped"
Wedding Portrait,Photography,https://images.unsplash.com/photo-1511285560929-80b456fea0bc,10,Elegant wedding photography style.,"Luxury wedding portrait, soft lighting, beautiful dress, professional photography, ultra realistic","blurry, low quality, noise, watermark"
Fantasy Elf,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1519345182560-3f2917c472ef,15,Transform into a magical elf.,"Fantasy elf character, enchanted forest, glowing magic, cinematic fantasy art, ultra detailed","blurry, low quality, deformed ears, watermark"
Dark Vampire,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1502685104226-ee32379fefbe,15,Dark gothic vampire transformation.,"Elegant vampire lord, gothic castle, moonlight, cinematic atmosphere, ultra detailed","blurry, low quality, cartoon, watermark"
Golden Angel,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1517365830460-955ce3ccd263,15,Become a heavenly angel.,"Golden angel wings, celestial clouds, divine lighting, ultra realistic fantasy art, masterpiece","blurry, low quality, dark scene, watermark"
Cyberpunk Samurai,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1558618666-fcd25c85cd64,18,Blend ancient samurai honor with futuristic cyberpunk aesthetics.,"Cyberpunk samurai warrior, neon katana, rain-soaked neon streets, futuristic Tokyo, glowing battle armor, cinematic lighting, ultra detailed, 8k","blurry, low quality, extra limbs, watermark, bad anatomy"
Space Princess,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04,20,Transform into intergalactic royalty among the stars.,"Space princess, cosmic crystal crown, Milky Way backdrop, shimmering celestial gown, starfields, cinematic sci-fi lighting, ultra detailed, masterpiece","blurry, low quality, deformed, watermark, cartoon"
Dragon Rider,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1490730141103-6cac27aaab94,20,Soar through fantasy skies on the back of a mighty dragon.,"Epic dragon rider, soaring above volcanic mountains, fantasy plate armor, fire-breathing dragon, dramatic sky, cinematic fantasy art, ultra detailed, 8k","blurry, low quality, watermark, deformed dragon, bad anatomy"
Wizard Mage,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d,15,Unlock arcane power as an ancient spell-casting mage.,"Ancient wizard mage, glowing staff, swirling spell effects, mystical library, arcane runes floating, dramatic purple lighting, ultra detailed, fantasy masterpiece","blurry, low quality, modern, watermark, bad anatomy"
Time Traveler,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1501139083538-0139583c060f,18,Step between eras as a steampunk time traveler.,"Time traveler steampunk outfit, brass goggles, vintage clockwork portal, swirling time vortex, Victorian atmosphere, cinematic, ultra detailed, masterpiece","blurry, low quality, watermark, modern clothing, casual"
Android Robot,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1485827404703-89b55fcc595e,20,Transform into a hyper-realistic humanoid android.,"Humanoid android portrait, futuristic cybernetic implants, glowing circuit veins, metallic synthetic skin, cinematic sci-fi lighting, ultra realistic","blurry, low quality, cartoon, watermark, deformed"
Alien Commander,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1614728894747-a83421e2b9c9,20,Lead an alien civilization as their supreme commander.,"Alien species commander, bioluminescent facial features, futuristic spacecraft bridge interior, exotic armor, ultra detailed sci-fi portrait, cinematic lighting","blurry, low quality, human face, watermark, cartoon"
Dark Sorcerer,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1478720568477-152d9b164e26,15,Command shadow and darkness as an all-powerful sorcerer.,"Dark sorcerer portrait, shadow magic tendrils, ancient cursed grimoire, dramatic moody purple lighting, skull motifs, ultra detailed fantasy art, masterpiece","blurry, low quality, bright colors, watermark, bad anatomy"
Mermaid Queen,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1544005313-94ddf0286df2,18,Rule the ocean depths as the sovereign mermaid queen.,"Mermaid queen portrait, bioluminescent coral throne, shimmering scales, underwater kingdom, flowing ethereal hair, cinematic underwater lighting, ultra detailed","blurry, low quality, legs visible, watermark, cartoon"
Demon Hunter,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1566492031773-4f4e44671857,15,Track and destroy the supernatural as a fearless demon hunter.,"Demon hunter portrait, battle-scarred leather armor, glowing enchanted weapons, dark atmospheric hellscape, dramatic fire lighting, ultra detailed, masterpiece","blurry, low quality, demons visible, watermark, cartoon"
Steampunk Inventor,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1553361371-9b22f78e8b1d,18,Victorian genius building impossible machines in a steampunk world.,"Steampunk inventor, brass goggles and gears, elaborate cogwheel workshop, Victorian laboratory, warm amber lighting, ultra detailed, cinematic masterpiece","blurry, low quality, modern tech, watermark, bad anatomy"
Galactic Warrior,Fantasy & Sci-Fi,https://images.unsplash.com/photo-1502581827181-9cf350c666b8,20,Elite soldier from the farthest reaches of the galaxy.,"Galactic warrior, advanced exosuit powered armor, alien planet rocky landscape, twin binary moons, cinematic sci-fi lighting, ultra detailed, 8k","blurry, low quality, watermark, deformed armor, cartoon"
Shonen Fighter,Anime,https://images.unsplash.com/photo-1516912481808-3406841bd33c,12,Power up with a battle aura as an anime protagonist.,"Shonen anime fighter, blazing energy aura, dynamic battle stance, speed lines, vibrant colors, expressive face, ultra detailed anime art, masterpiece","realistic, blurry, low quality, watermark, bad anatomy"
Magical Girl,Anime,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e,12,Transform into a sparkling magical girl warrior.,"Magical girl transformation sequence, sparkles and ribbons, pastel pink and gold palette, ornate wand, sailor uniform, ultra detailed, cute expressive eyes","realistic, blurry, dark colors, watermark, scary"
Anime Villain,Anime,https://images.unsplash.com/photo-1552058544-f2b08422138a,10,Embrace the charisma and menace of the anime antagonist.,"Anime villain portrait, menacing smirk, dark crackling aura, flowing dramatic cape, sharp piercing eyes, ultra detailed anime art, cinematic lighting","realistic, blurry, low quality, watermark, friendly expression"
Mecha Pilot,Anime,https://images.unsplash.com/photo-1563132337-f159f484226c,12,Suit up and pilot a colossal battle mech.,"Mecha pilot flight suit, hi-tech cockpit HUD background, futuristic visor helmet, anime style, ultra detailed, cinematic sci-fi lighting, masterpiece","realistic, blurry, low quality, watermark, bad anatomy"
Ninja Assassin,Anime,https://images.unsplash.com/photo-1542353436-312f0e1f67ff,12,Move like a shadow as an elite anime ninja.,"Anime ninja assassin, black mask and shinobi gear, kunai in hand, moonlit rooftop setting, shadow clone effects, ultra detailed, cinematic","realistic, blurry, low quality, watermark, bright colors"
Demon Slayer,Anime,https://images.unsplash.com/photo-1601814933824-fd0b574dd592,12,Wield a special breathing technique to slay demons.,"Demon slayer corps anime style, Taisho era haori uniform, glowing nichirin blade, flame breath effect, ultra detailed anime art, masterpiece","realistic, blurry, low quality, watermark, modern clothing"
Anime Idol,Anime,https://images.unsplash.com/photo-1524638431109-93d95c968f03,10,Dazzle fans as a sparkling anime pop idol superstar.,"Anime pop idol, colorful holographic stage lights, microphone, sparkling idol costume, confetti, ultra detailed, vibrant colors, J-pop style","realistic, blurry, dark, watermark, scary"
Isekai Hero,Anime,https://images.unsplash.com/photo-1590086782957-93c06ef21604,12,Reincarnated as the chosen hero in a fantasy RPG world.,"Isekai hero anime style, glowing skill status window, fantasy medieval isekai world, leveling up aura, ultra detailed anime art, cinematic","realistic, blurry, low quality, watermark, modern setting"
Dreamworks Hero,Cartoon,https://images.unsplash.com/photo-1535713875002-d1d0cf377fde,10,DreamWorks-style animated adventure hero.,"DreamWorks animation style 3D character, cinematic renders, expressive heroic face, adventure landscape background, high detail, colorful vibrant","realistic, blurry, low quality, watermark, scary"
Comic Book Style,Cartoon,https://images.unsplash.com/photo-1534528741775-53994a69daeb,12,Bold classic American comic book panel portrait.,"Comic book style portrait, bold black ink outlines, halftone dot shading, vibrant flat colors, action dynamic pose, Marvel and DC inspired","realistic, blurry, low quality, watermark, photography"
Studio Ghibli,Cartoon,https://images.unsplash.com/photo-1554080353-a576cf803bda,12,Step into the magical world of Studio Ghibli.,"Studio Ghibli anime art style, soft hand-painted watercolor, whimsical forest spirit setting, warm muted tones, ultra detailed, gentle atmosphere","realistic, blurry, harsh digital, watermark, dark"
Chibi Character,Cartoon,https://images.unsplash.com/photo-1520813792240-56fc4a3765a7,8,Adorable super-deformed chibi doll version of yourself.,"Chibi character portrait, oversized head tiny body, huge sparkly glittering eyes, pastel candy background, ultra cute, anime chibi style","realistic, blurry, low quality, watermark, normal proportions"
Pixel Art Portrait,Cartoon,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e,8,Retro 16-bit video game pixel art portrait.,"Pixel art portrait, retro 16-bit SNES era sprite style, classic RPG aesthetic, vibrant limited palette pixel colors, detailed sprite work","blurry, low quality, realistic, watermark, 3D rendered"
Classic Cartoon,Cartoon,https://images.unsplash.com/photo-1499557354967-2b2d8910bcca,10,Rubber-hose classic Western animation style.,"Classic 1930s cartoon animation style, bold black outlines, exaggerated rubberhose limbs, expressive gag face, bright primary flat colors","realistic, blurry, low quality, watermark, modern"
Roman Emperor,Historical,https://images.unsplash.com/photo-1561037404-61cd46aa615b,15,Rule the Roman Empire at the height of its glory.,"Roman emperor portrait, marble Colosseum columns, golden laurel crown, imperial toga and armor, cinematic ancient Rome lighting, ultra detailed","blurry, low quality, modern, watermark, cartoon"
Spartan Warrior,Historical,https://images.unsplash.com/photo-1550258987-190a2d41a8ba,15,Stand against impossible odds as a legendary Spartan soldier.,"Spartan warrior, polished bronze Corinthian helmet, hoplon shield, epic Thermopylae battle background, dramatic low sun, ultra detailed, cinematic","blurry, low quality, modern, watermark, cartoon"
Pirate Captain,Historical,https://images.unsplash.com/photo-1516280440614-37939bbacd81,15,Command the seven seas as a feared pirate captain.,"Golden Age pirate captain portrait, treasure galleon deck, tricorn hat, weathered long coat, raging ocean storm, ultra detailed, cinematic","blurry, low quality, modern, watermark, cartoon"
Renaissance Noble,Historical,https://images.unsplash.com/photo-1491528323818-fdd1faba62cc,15,Sit for a portrait as a wealthy Renaissance aristocrat.,"Renaissance noble oil painting portrait, velvet doublet with gold trim, pearl jewelry, dramatic Rembrandt chiaroscuro, ultra realistic, museum masterpiece","blurry, low quality, modern, watermark, cartoon"
Aztec Warrior,Historical,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6,15,Rise as a feared Aztec eagle or jaguar warrior.,"Aztec eagle warrior, ornate feathered headdress, jade and obsidian ornaments, pyramid temple of the sun, tropical dramatic lighting, ultra detailed","blurry, low quality, modern, watermark, cartoon"
Mongol Khan,Historical,https://images.unsplash.com/photo-1568602471122-7832951cc4c5,18,Lead the Mongol horde as a great warrior Khan.,"Mongol Khan portrait, elaborate fur and silk armor, vast Central Asian steppe, battle banner, dramatic cloudy sky, ultra detailed historical masterpiece","blurry, low quality, modern, watermark, cartoon"
Napoleonic General,Historical,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91,15,Command armies across Europe as a Napoleonic-era general.,"Napoleonic general portrait, ornate military uniform with epaulettes, campaign medals, battlefield cannon smoke, dramatic lighting, ultra realistic historical","blurry, low quality, modern, watermark, cartoon"
Feudal Shogun,Historical,https://images.unsplash.com/photo-1575936123452-b67c3203c357,18,Rule feudal Japan with an iron fist as a mighty shogun.,"Feudal Japanese shogun, elaborate lacquered red-black armor, Mount Fuji and cherry blossoms, traditional castle, ultra detailed cinematic masterpiece","blurry, low quality, modern, watermark, cartoon"
Ancient Warrior Queen,Historical,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f,15,Reign as a fierce queen commanding armies in the ancient world.,"Ancient warrior queen portrait, golden battle crown, stone throne, flowing silk robes, torch-lit palace hall, ultra detailed historical masterpiece","blurry, low quality, modern, watermark, cartoon"
Renaissance Painter,Historical,https://images.unsplash.com/photo-1580489944761-15a19d654956,15,Pose as a subject in an old masters Renaissance painting.,"Renaissance oil painting portrait, classical balanced composition, Rembrandt three-point lighting, rich velvet and silk fabric, ultra detailed, museum quality","blurry, low quality, modern style, watermark, digital"
Zeus God,Mythology,https://images.unsplash.com/photo-1464207687429-7505649dae38,20,Channel the supreme power of the king of the Greek gods.,"Zeus king of Olympian gods, crackling lightning bolts, storm clouds above Mount Olympus, flowing white and gold robes, epic divine scale, ultra detailed","blurry, low quality, modern, watermark, cartoon"
Norse Thor,Mythology,https://images.unsplash.com/photo-1516912481808-3406841bd33c,20,Wield Mjolnir with fury as the Norse god of thunder.,"Thor Norse thunder god, Mjolnir hammer raised, lightning storm vortex, Viking age armor, Bifrost rainbow bridge Asgard, cinematic ultra detailed, masterpiece","blurry, low quality, modern, watermark, cartoon"
