Name,Category,Preview URL (Cover Image),Price (Credits),Description,Prompt,Negative Prompt
Anubis Deity,Mythology,https://images.unsplash.com/photo-1553361371-9b22f78e8b1d,18,Embody the Egyptian god who guards the gates of the afterlife.,"Anubis Egyptian deity portrait, jackal-headed god, Scales of Ma'at justice, underworld Duat temple, gold and jet black palette, ultra detailed, masterpiece","blurry, low quality, modern, watermark, cartoon"
Celtic Druid,Mythology,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91,15,Harness the power of nature as an ancient Celtic druid.,"Celtic druid high priest portrait, ancient Stonehenge stone circle, staff of oak, glowing runes, misty emerald forest, ultra detailed, cinematic","blurry, low quality, modern, watermark, cartoon"
Poseidon Sea God,Mythology,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,18,Rule the ocean depths as the mighty Greek god of the sea.,"Poseidon god of the sea, golden trident, hurricane-force crashing waves, sea creatures and leviathan, dramatic stormy sky, ultra detailed masterpiece","blurry, low quality, modern, watermark, cartoon"
Valkyrie Warrior,Mythology,https://images.unsplash.com/photo-1438761681033-6461ffad8d80,18,Choose the slain and ride to Valhalla as a Norse Valkyrie.,"Valkyrie warrior goddess, gleaming winged plate armor, Valhalla golden gates, silver spear, fierce determined expression, ultra detailed cinematic masterpiece","blurry, low quality, modern, watermark, cartoon"
Chinese Dragon Emperor,Mythology,https://images.unsplash.com/photo-1517841905240-472988babdf9,20,Embody the celestial power of the legendary Chinese dragon emperor.,"Chinese dragon emperor, imperial five-clawed dragon silk robe, jade throne room, swirling divine dragons, imperial palace, ultra detailed, masterpiece","blurry, low quality, modern, watermark, cartoon"
Aztec Sun God,Mythology,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b,18,Radiate the burning power of the Aztec solar deity.,"Aztec sun god Tonatiuh, elaborate gold solar headdress, pyramid Templo Mayor, blazing noon sun, obsidian ritual mask, ultra detailed cinematic","blurry, low quality, modern, watermark, cartoon"
Gothic Fashion,Fashion,https://images.unsplash.com/photo-1534528741775-53994a69daeb,12,Dark romantic gothic haute couture editorial.,"Gothic fashion editorial portrait, black intricate lace gown, dark romantic Victorian setting, candles and roses, dramatic shadow, pale skin, Vogue dark editorial","blurry, low quality, colorful bright, watermark, smiling"
Boho Festival,Fashion,https://images.unsplash.com/photo-1494253109108-2e30c049369b,12,Free-spirited bohemian festival style photography.,"Bohemian festival fashion, hand-woven floral crown, flowy embroidered dress, golden hour sunset light, earthy warm tones, professional outdoor editorial","blurry, low quality, formal business, watermark, dark"
Haute Couture Paris,Fashion,https://images.unsplash.com/photo-1469334031218-e382a71b716b,18,Walk the Paris Fashion Week runway in avant-garde couture.,"Paris haute couture runway, extravagant avant-garde sculptural gown, runway dramatic spotlights, high fashion editorial, magazine cover quality, ultra detailed","blurry, low quality, casual wear, watermark, bad posture"
Vintage 1920s Flapper,Fashion,https://images.unsplash.com/photo-1503185912284-5271ff81b9a8,15,Dance through the Jazz Age as a 1920s flapper.,"1920s flapper fashion, art deco speakeasy setting, feathered headband, beaded sequin drop dress, vintage sepia-warm tones, film noir atmosphere","blurry, low quality, modern clothing, watermark, color"
Punk Rock Style,Fashion,https://images.unsplash.com/photo-1503185912284-5271ff81b9a8,12,Raw and rebellious punk rock aesthetic.,"Punk rock fashion editorial, studded black leather jacket, mohawk hairstyle, concert stage backdrop, edgy attitude, high contrast dramatic photography","blurry, low quality, formal suit, watermark, preppy clean"
Luxury Gala,Fashion,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61,15,Dressed to impress at a high society luxury gala.,"Luxury gala portrait, sparkling crystal ballgown, grand hotel ballroom chandeliers, ultra glamorous, jewels, professional photography, magazine quality","blurry, low quality, casual clothing, watermark, bad lighting"
Summer Runway,Fashion,https://images.unsplash.com/photo-1558618666-fcd25c85cd64,10,Vibrant summer collection runway photoshoot.,"Summer fashion editorial, colorful resort wear collection, tropical beach backdrop, bright natural sun light, professional fashion photography","blurry, low quality, winter, watermark, dark background"
Athleisure Chic,Fashion,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b,10,High-end designer sportwear meets everyday luxury.,"Athleisure chic editorial, luxury designer sportswear outfit, minimalist white studio, dynamic athletic pose, ultra detailed editorial photography","blurry, low quality, outdated, watermark, bad posture"
Tech Startup CEO,Professional,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e,10,Silicon Valley tech entrepreneur headshot.,"Tech startup CEO portrait, modern glass open-plan office, smart casual business attire, confident approachable expression, natural window light, professional","blurry, low quality, formal suit, watermark, bad lighting"
Doctor Portrait,Professional,https://images.unsplash.com/photo-1559839734-2b71ea197ec2,8,Authoritative medical professional portrait.,"Medical doctor portrait, crisp white coat, stethoscope around neck, hospital corridor background, confident expression, professional studio photography","blurry, low quality, casual clothing, watermark, bad anatomy"
Lawyer Headshot,Professional,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2,8,Powerful attorney professional portrait.,"Lawyer attorney portrait, sharp formal suit, law library bookshelf background, authoritative confident pose, clean professional lighting","blurry, low quality, casual, watermark, distorted"
Military General,Professional,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91,12,Distinguished decorated military officer portrait.,"Military general portrait, dress uniform with service medals, formal military pose, patriotic flag background, ultra detailed professional photography","blurry, low quality, casual, watermark, bad posture"
Master Chef,Professional,https://images.unsplash.com/photo-1583394293214-0b3a99816a72,8,Award-winning executive chef in their kitchen domain.,"Executive chef portrait, pristine white chef coat and tall toque, gourmet restaurant kitchen, confident arms-crossed pose, dramatic culinary lighting","blurry, low quality, casual clothing, watermark, messy"
Airline Pilot,Professional,https://images.unsplash.com/photo-1551244072-5d12893278bc,10,Professional airline captain in the cockpit.,"Airline pilot captain portrait, formal uniform and gold-braided cap, cockpit instrument panel background, confident expression, professional photography","blurry, low quality, casual, watermark, distorted"
Sports Coach,Professional,https://images.unsplash.com/photo-1546961342-ea5f60b193ca,8,Elite motivational head coach portrait.,"Head sports coach portrait, athletic training wear, stadium arena background, motivational powerful pose, natural sports lighting, professional photography","blurry, low quality, formal suit, watermark, static pose"
Rock Star,Entertainment,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f,15,Iconic rock music legend on stage.,"Rock star portrait, electric guitar in hand, sold-out arena concert stage, smoke machine effects and spotlights, leather jacket, ultra detailed, cinematic","blurry, low quality, quiet setting, watermark, casual"
Hip Hop Artist,Entertainment,https://images.unsplash.com/photo-1547153760-18fc86324498,15,Chart-topping hip hop music artist portrait.,"Hip hop artist portrait, urban skyline backdrop, diamond chain jewelry, streetwear, confident swagger pose, dramatic studio lighting, ultra detailed","blurry, low quality, formal, watermark, suburban"
Classical Musician,Entertainment,https://images.unsplash.com/photo-1507838153414-b4b713384a76,12,World-renowned classical orchestra performer.,"Classical musician portrait, grand concert hall stage, formal black concert attire, instrument held, dramatic stage lighting, ultra detailed professional portrait","blurry, low quality, casual, watermark, bad posture"
Broadway Star,Entertainment,https://images.unsplash.com/photo-1516280440614-37939bbacd81,15,Dazzling Broadway musical theater performer.,"Broadway musical star, elaborate stage costume, theatrical footlights, dramatic expressive performance pose, glamour and grandeur, ultra detailed, cinematic","blurry, low quality, casual, watermark, sad"
DJ Producer,Entertainment,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b,12,Electric nightclub DJ headlining a massive festival.,"DJ producer portrait, packed festival stage, laser light show, CDJ mixing decks, crowd energy, neon atmosphere, ultra detailed, cinematic","blurry, low quality, quiet, watermark, daytime park"
Film Director,Entertainment,https://images.unsplash.com/photo-1547425260-76bcadfb4f2c,15,Visionary Hollywood film director on set.,"Hollywood film director portrait, movie set backstage, director viewfinder, clapperboard, cinematic behind-the-scenes lighting, professional portrait","blurry, low quality, casual, watermark, distorted"
Stand-up Comedian,Entertainment,https://images.unsplash.com/photo-1527980965255-d3b416303d12,12,Stand-up comedian commanding the stage.,"Stand-up comedian portrait, comedy club brick wall stage, single spotlight, microphone in hand, charismatic mid-joke expression, ultra detailed, cinematic","blurry, low quality, sad, watermark, crowd visible"
Black & White Classic,Photography,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04,10,Timeless high-contrast black and white photography.,"Classic black and white portrait, film photography aesthetic, high contrast dramatic shadows, deep blacks, fine grain texture, Ansel Adams inspired masterpiece","color, blurry, low quality, watermark, digital clean"
Golden Hour Glow,Photography,https://images.unsplash.com/photo-1499996860823-5214fcc65f8f,10,Warm magical golden sunset portrait photography.,"Golden hour portrait, warm rich orange and amber tones, soft rim backlight halo effect, bokeh background, cinematic outdoor photography, ultra detailed","blurry, low quality, harsh midday, watermark, indoor studio"
Rain Mood Portrait,Photography,https://images.unsplash.com/photo-1493246507139-91e8fad9978e,12,Moody evocative rainy day street portrait.,"Rainy day portrait, wet glistening city streets, umbrella, moody atmospheric grey lighting, shallow focus bokeh, cinematic melancholic photography","blurry, low quality, sunny weather, watermark, fake rain"
Urban Street Style,Photography,https://images.unsplash.com/photo-1504257432389-52343af06ae3,10,Raw gritty urban street photography portrait.,"Urban street photography portrait, authentic city environment, natural candid lighting, documentary street style, gritty realistic texture, ultra detailed","blurry, low quality, studio backdrop, watermark, posed stiff"
Studio Glamour,Photography,https://images.unsplash.com/photo-1524504388940-b1c1722653e1,15,High-end studio glamour beauty photography.,"Glamour photography portrait, professional studio, clamshell beauty lighting setup, dramatic eye shadow, high-end beauty retouching quality, ultra detailed","blurry, low quality, outdoor, watermark, casual lighting"
Vintage Film Grain,Photography,https://images.unsplash.com/photo-1495366691023-cc4eadcc2d7e,8,Nostalgic analog vintage film photography.,"Vintage film photography portrait, heavy authentic film grain, faded analog colors, 1970s color palette, warm analog chemical tones, timeless classic","blurry, low quality, clean digital, watermark, sharp modern"
Nature Portrait,Photography,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df,10,Serene portrait immersed in natural environment.,"Nature portrait, lush green old-growth forest, soft dappled golden sunlight, botanical flowers and ferns, serene peaceful atmosphere, ultra detailed, cinematic","blurry, low quality, urban background, watermark, harsh light"
Zombie Survivor,Horror,https://images.unsplash.com/photo-1558618666-fcd25c85cd64,15,Surviving the apocalypse in a world overrun by zombies.,"Zombie apocalypse survivor portrait, torn and bloodied clothing, intense survival eyes, destroyed city ruins background, dramatic post-apocalyptic lighting, ultra detailed","blurry, low quality, clean tidy, watermark, happy smiling"
Halloween Witch,Horror,https://images.unsplash.com/photo-1516912481808-3406841bd33c,12,Classic Halloween witch casting spells under the moon.,"Halloween witch portrait, tall pointed black hat, moonlit pumpkin patch, bubbling cauldron, green magic sparks, dark mystical forest, ultra detailed, spooky","blurry, low quality, modern setting, watermark, daytime bright"
Haunted Ghost,Horror,https://images.unsplash.com/photo-1478720568477-152d9b164e26,10,An ethereal spirit haunting a Victorian mansion.,"Haunted ghost portrait, semi-translucent ethereal spirit, misty haunted Victorian mansion hallway, eerie cold moonlight, ultra detailed, atmospheric horror","blurry, low quality, solid opaque, watermark, sunny day"
Werewolf Moon,Horror,https://images.unsplash.com/photo-1489424731084-a5d8b219a5bb,15,Transform under the blood moon as a terrifying werewolf.,"Werewolf transformation portrait, full blood moon, dark primeval forest, torn clothes mid-transformation, dramatic horror shadows, ultra detailed cinematic masterpiece","blurry, low quality, daytime, watermark, cartoon cute"
Dark Witch Queen,Horror,https://images.unsplash.com/photo-1502685104226-ee32379fefbe,12,Powerful dark magic witch queen ruling her cursed domain.,"Dark witch queen portrait, obsidian thorned crown, shadow and black flame magic, gothic castle throne, ravens circling, ultra detailed, cinematic horror","blurry, low quality, bright cheerful, watermark, friendly"
Basketball Legend,Sports,https://images.unsplash.com/photo-1546961342-ea5f60b193ca,12,NBA-level basketball superstar portrait.,"Basketball player portrait, NBA arena hardwood court, dramatic spotlights, athletic uniform, dynamic explosive action pose, ultra detailed, cinematic sports","blurry, low quality, static pose, watermark, outdoor casual"
Soccer Champion,Sports,https://images.unsplash.com/photo-1471295253337-3ceaaedca402,12,World Cup football champion glory portrait.,"Soccer football champion portrait, packed stadium setting, national team jersey, golden trophy, victory celebration, dramatic stadium lighting, ultra detailed","blurry, low quality, static, watermark, empty stadium"
Boxing Fighter,Sports,https://images.unsplash.com/photo-1549924231-f129b911e442,12,Elite professional boxing champion in the ring.,"Professional boxer portrait, red boxing gloves raised, spotlight boxing ring, intense warrior expression, sweat and determination, dramatic shadows, ultra detailed","blurry, low quality, peaceful, watermark, casual street"
Tennis Pro,Sports,https://images.unsplash.com/photo-1554068865-24cecd4e34b8,10,Wimbledon-level tennis champion serving for the title.,"Professional tennis player portrait, Centre Court grass setting, white tennis racket raised, athletic whites, dynamic serve pose, natural sunlight, ultra detailed","blurry, low quality, static, watermark, indoor gym"
Olympic Swimmer,Sports,https://images.unsplash.com/photo-1530549387789-4c1017266635,12,Olympic gold medal swimmer breaking world records.,"Olympic swimmer portrait, competition pool lane, racing goggles cap and suit, starting block, water explosion action, dramatic sports lighting, ultra detailed","blurry, low quality, static, watermark, dry land"
Oil Painting Master,Art Styles,https://images.unsplash.com/photo-1579783902614-a3fb3927b6a5,15,Classic old masters oil painting portrait.,"Oil painting portrait, old masters technique, impasto texture visible, Rembrandt three-point dramatic lighting, rich earthy palette, museum-quality masterpiece","blurry, low quality, modern digital, watermark, flat"
Watercolor Dream,Art Styles,https://images.unsplash.com/photo-1558618666-fcd25c85cd64,12,Delicate luminous watercolor painting portrait.,"Watercolor portrait painting, soft flowing wet-on-wet colors, white paper showing through, loose artistic brush strokes, dreamy pastel harmony, fine art quality","blurry, low quality, harsh digital, watermark, oil paint"
Pop Art Portrait,Art Styles,https://images.unsplash.com/photo-1541961017774-22349e4a1262,12,Andy Warhol inspired bold pop art portrait.,"Pop art portrait, Warhol silkscreen style, bold flat graphic colors, halftone dot pattern, high-contrast graphic design, iconic pop culture aesthetic, masterpiece","realistic, blurry, low quality, watermark, muted subtle"
Impressionist Monet,Art Styles,https://images.unsplash.com/photo-1579783901586-d88db74b4fe4,15,Claude Monet-style impressionist painted portrait.,"Impressionist painting portrait, Monet plein air style, loose visible comma brushstrokes, soft dappled garden light, water lily pond setting, fine art masterpiece","blurry, low quality, digital, watermark, sharp hard edges"
Baroque Grandeur,Art Styles,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d,15,Lavish Baroque era painted portrait with dramatic lighting.,"Baroque portrait painting, dramatic Caravaggio chiaroscuro, gilded ornate frame, rich velvet and silk fabrics, pearls and jewels, old masters quality masterpiece","blurry, low quality, modern, watermark, flat even lighting"
Cubism Abstract,Art Styles,https://images.unsplash.com/photo-1564679177483-8a55d15f68ec,12,Abstract Picasso-inspired cubist portrait.,"Cubist portrait painting, Picasso analytical cubism style, geometric fragmented planes and forms, multiple viewpoints simultaneously, art historical masterpiece","realistic, blurry, low quality, watermark, photography"
Fine Ink Sketch,Art Styles,https://images.unsplash.com/photo-1516280440614-37939bbacd81,10,Highly detailed fine ink pen portrait sketch.,"Fine ink sketch portrait, precise pen line work, intricate cross-hatching shading technique, white paper texture visible, artist studio, ultra detailed draughtsmanship","blurry, low quality, color, watermark, photography"
Queen Royal,Royalty,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f,18,Regal queen adorned with crown and priceless jewels.,"Royal queen portrait, diamond and ruby crown, gilded throne room, full silk ball gown, golden scepter, ultra detailed, cinematic royal portrait masterpiece","blurry, low quality, casual, watermark, deformed"
Prince Charming,Royalty,https://images.unsplash.com/photo-1568602471122-7832951cc4c5,15,Dashing royal prince in ceremonial dress.,"Royal prince portrait, grand palace interior, military dress uniform, service medals and sash, noble confident pose, ultra detailed, cinematic royal portrait","blurry, low quality, casual, watermark, deformed face"
Imperial Empress,Royalty,https://images.unsplash.com/photo-1580489944761-15a19d654956,18,Majestic empress commanding a vast empire.,"Imperial empress portrait, elaborate jeweled crown, ermine-trimmed royal robes, palace throne room gold columns, divine golden light, ultra detailed masterpiece","blurry, low quality, casual, watermark, simple plain"
